,Term,Ndeᵗᵢ,Ndeᶜᵗ,Ndᶜᵗeᵗᵢ,Eᵗ,LPM,TGM,LRM,included_snomed
25,"('la', 'producción', 'científico-médica')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
26,"('lo', 'primero', 'paso')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
27,"('el', 'diploma', 'europeo')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
28,"('de', 'decúbito', 'prono')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
29,"('anestesiología', 'utilizando')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
30,"('telégrafo', 'médico')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
31,"('circunstancia', 'clínica')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
32,"('catalana', ""d'anestesiologia"")",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
33,"('de', 'extubación', 'accidental')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
34,"('caso', 'de', 'extubación')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
35,"('sódica', 'como', 'agente')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
36,andaluza-extremena,2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
37,"('medicina', 'de', 'cuidado')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,True
38,"('asociación', 'andaluza-extremena')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
39,"('monitorización', 'con', 'espectrograma')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
40,"('society', 'of', 'anaesthesiologist')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
41,"('europeo', 'de', 'anestesiología')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
42,"('una', 'verdad', 'incómoda')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
43,"('memoria', 'sobre', 'anestesia')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
44,"('intubación', 'con', 'fibrobroncoscopio')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
45,cvt,2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
46,reanimació,2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
47,"('anestesia', 'en', 'provincia')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
48,"('posición', 'de', 'decúbito')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
49,"('paciente', 'en', 'posición')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,True
50,"('para', 'paciente', 'crítico')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
51,"('videolaringoscopio', 'pentax-aw')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
52,"('utilizando', 'la', 'simulación')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
53,"('estudio', 'de', 'reclasificación')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
54,"('comportamiento', 'del', 'niño')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
55,"('anestesiología', 'como', 'especialidad')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
56,"('de', 'monitorización', 'bi')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
57,"('curricular', 'en', 'anestesiología')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
58,"('espectrograma', 'del', 'sistema')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
59,"('existe', 'realmente', 'consenso')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
60,"('andaluza-extremena', 'de', 'anestesiología')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
61,"('el', 'telégrafo', 'médico')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
62,"('anestesia', 'epidural', 'lumbar')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
63,trueno,2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,True
64,telégrafo,2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,True
65,ergojet,2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
66,"('of', 'anaesthesiologist')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
67,d'anestesiologia,2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
68,ergotronic-3,2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
69,"('nuevo', 'respirador')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
70,anaesthesiologist,2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
71,"('la', 'asociación', 'andaluza-extremena')",2,0,2134,1,1.0009363295880152,1.0,1.0009363295880152,False
72,luso-español,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
73,"('en', 'anestesia', 'clínica')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
74,"('seguridad', 'tubolock')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
75,"('en', 'paciente', 'vulnerable')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
76,"('de', 'hipotermia', 'perioperatoria')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
77,extraquirúrgica,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
78,"('analgesia', 'continua', 'invasiva')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
79,"('respuesta', 'neuromuscular')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
80,"('ultima', 'página')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
81,"('anestesia', 'inhalatoria', 'pediátrica')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
82,"('tomarse', 'la', 'pequeña')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
83,tiopentón,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
84,"('implicación', 'en', 'anestesiología')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
85,"('automática', 'externa')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
86,"('carrillo', 'de', 'albornoz')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
87,"('introducción', 'y', 'desarrollo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
88,"('anti-reflejo', 'en', 'anestesiología')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
89,"('la', 'suspensión', 'quirúrgica')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
90,"('de', 'e.', 'pi')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
91,"('motivo', 'de', 'estudio')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
92,"('induction', 'compliance', 'checklist')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
93,"('monitorización', 'bi', 'vista™')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
94,"('antonio', 'moral')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
95,"('inducción', 'anestésica', 'intravenosa')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
96,"('miembro', 'superior', 'despué')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
97,"('me', 'by', 'your')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
98,"('anestesiólogo', 'en', 'tiempo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
99,"('sencilla', 'y', 'adecuada')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
100,"('caso', 'clínico', 'comunicado')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
101,"('formativo', 'postgraduado')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
102,"('del', 'análisis', 'funcional')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,True
103,cormack-lehane,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,True
104,da-vpco2,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
105,"('técnica', 'y', 'uso')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
106,"('lámina', 'aracnoidea')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
107,"('emergency', 'serviz')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
108,genitofemoral,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,True
109,"('of', 'family')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
110,"('analgesia', 'extradural', 'regional')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
111,"('versu', 'recuerdo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
112,"('código', 'profesional')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
113,"('local', 'de', 'larga')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
114,"('la', 'línea', 'medio')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
115,"('reanimación', 'a', 'travé')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
116,"('exposición', 'única')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
117,"('tratamiento', 'pipac')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
118,"('subaracnoidea', 'con', 'lidocaína')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
119,"('implicación', 'debida')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
120,"('de', 'nuevo', 'respirador')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
121,"('adecuada', 'en', 'cirugía')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
122,"('arbol', 'bronquial', 'derecho')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
123,"('modelo', 'y', 'resultado')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
124,"('diagnóstico', 'ecográfico', 'inmediato')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
125,"('sistema', 'neuro', 'vegetativo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
126,"('tra', 'una', 'cesárea')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
127,ósmosis,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,True
128,"('para', 'orquidopexia', 'bilateral')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
129,"('el', 'distré', 'respiratorio')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
130,"('la', 'hidatidosis', 'sacroilíaca-vertebral')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
131,hypno,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
132,"('pda', 'y', 'anestesiología')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
133,"('simulación', 'con', 'ordenador')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
134,"('bloqueo', 'brilma')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
135,"('analgesia', 'combinada', 'epidural-intradural')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
136,"('efecto', 'antimorfínico')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
137,"('anestesiol', 'reanim', '64')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
138,"('do', 'clásico', 'olvidado')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
139,"('presentación', 'del', 'shock')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
140,pipac,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
141,"('rescate', 'tra', 'laringoscopia')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
142,"('primera', 'revista', 'electrónica')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
143,sensar,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
144,"('2', 'tiempo', 'quirúrgico')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
145,"('comprobación', 'del', 'funcionamiento')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
146,"('sobre', 'modelo', 'obstructivo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
147,"('anestesiólogo', 'en', 'endoscopia')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
148,bennjamín,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
149,"('beneficiarse', 'lo', 'médico')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
150,"('lugar', 'y', 'mecanismo/')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
151,"('referencia', 'cardiovascular')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
152,"('paciente', 'postrasplantado', 'pulmonar')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
153,"('interconsulta', 'en', 'anestesiología')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
154,"('continua', 'invasiva')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
155,"('paí', 'de', 'mediano')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
156,"('molestia', 'de', 'escribir')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
157,"('cerebral', 'guiar')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
158,"('la', 'laringoscopia', 'directa')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
159,"('revista', 'de', 'anestesiología')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
160,"('muestral', 'y', 'establecimiento')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
161,"('y/o', 'técnica', 'molecular')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
162,"('anxiety', 'in')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
163,"('medicina', 'del', 'dolor')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
164,"('lo', 'filtro', 'epidural')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
165,"('molecular', 'para', 'detección')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
166,"('peräodo', 'expulsivo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
167,"('el', 'videolaringoscopio', 'glidescope')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
168,"('orquiectomía', 'en', 'paciente')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
169,"('une', 'existente')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
170,"('reanimacíon', 'actual')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
171,"('opiáceo', 'en', 'anestesiología-reanimación')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
172,"('normal', 'del', 'ventilador')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
173,"('el', 'arte', 'nueva')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
174,"('premedicación', 'en', 'anestesia')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
175,"('conseguirán', 'la', 'unidad')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
176,"('efecto', 'del', 'anestésico')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
177,"('lo', 'aspecto', 'deficitario')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
178,comunicacioneslibre,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
179,"('la', 'perenne', 'actualidad')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
180,"('docencia', 'de', 'anestesiología')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
181,"('la', 'curva', 'presión/volumen')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
182,"('bronquial', 'derecho')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
183,"('y', 'reanimacíon', 'actual')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
184,"('reanim', '64')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
185,"('terapeutica', 'del', 'dolor')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
186,"('traqueal', 'postintubación', 'orotraqueal')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
187,"('dilatación', 'con', 'globo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
188,"('efecto', 'del', 'etomidato')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
189,"('aparato', 'estelo-inyector')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
190,"('permeabilidad', 'del', 'saco')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
191,"('evidencia', 'y', 'anestesiología')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
192,"('hace', '25', 'año')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
193,"('la', 'perfusión', 'esplácnica')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
194,pec,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,True
195,"('problema', 'y', 'trampa')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
196,"('publicación', 'científica', 'originada')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
197,"('del', 'nombre', 'propio')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
198,"('comparación', 'del', 'modelo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
199,"('la', 'escala', 'empleada')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
200,"('remifentanilo', 'o', 'propofol')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
201,"('má', 'reciente', 'sentencia')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
202,"('científica', 'de', 'jaume')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
203,"('general', 'con', 'perfusión')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
204,"('anestesia', '92')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
205,"('perfusión', 'de', 'propofol')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
206,"('correcta', 'del', 'idioma')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
207,"('cloruro', 'de', 'etilo-eter-aire')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
208,"('influyente', 'durante', '8')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
209,"('fentanilo', 'o', 'remifentanilo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
210,"('formación', 'de', 'anestesiólogo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
211,"('continua', 'del', 'esplácnico')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
212,"('administran', 'en', 'anestesia')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
213,"('sociedad', 'médica', 'científica')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
214,"('actividad', 'extraquirúrgica')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
215,"('transitorio', 'tra', 'anestesia')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
216,"('t.', 'lemmon')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
217,"('interé', 'para', 'lector')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
218,"('norma', 'une', 'existente')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
219,esra,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
220,"('farmacológica', 'en', 'anestesiología')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
221,"('escala', 'induction', 'compliance')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
222,"('la', 'sedación', 'realizada')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
223,"('anestesiologo', 'europeo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
224,"('paciente', 'protegido')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
225,"('anestesia', 'general', 'frente')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
226,"('del', 'servicio', 'correspondiente')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
227,"('preparación', 'del', 'anestesiólogo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
228,"('charle', 'thoma', 'jackson')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
229,"('anión', 'gap', 'obtenido')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
230,"('reanimación', 'cardiopulmonar', 'simulada')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
231,"('torno', 'al', 'dolor')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
232,"('derecho', 'pulmonar')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
233,"('criterio', 'jurisprudencial')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
234,adeanestesiología,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
235,"('inhalador', 'anestésico')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
236,"('la', 'investigacíon', 'anestesiológica')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
237,"('para', 'cirugía', 'mamaria')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
238,"('frecuencia', 'ergojet')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
239,"('novedosa', 'técnica')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
240,"('de', 'postgrado', 'europeo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
241,"('línea', 'medio', 'axilar')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
242,"('cultivo', 'y/o')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
243,docimológica,1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
244,"('desproporción', 'del', 'tipo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,True
245,"('william', 't.', 'lemmon')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
246,"('o', 'viejo', 'problema')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
247,"('thoma', 'jackson')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
248,"('la', 'situación', 'formativa')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
249,"('científica', 'originada')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
250,"('children', 'treated', 'in')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
251,"('analgesia', 'alternativo')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
252,"('hypno', 'y', 'revista')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
253,"('lo', 'medicamento', 'inyectable')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
254,"('curarización', 'prolongada')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
255,"('dosis', 'en', 'cirugía')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
256,"('farmacológica', 'potencial')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
257,"('técnica', 'anestésica', 'única')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
258,"('certificación', 'de', 'especialista')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
259,"('en', 'anestesia', 'raquädea')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
260,"('catéter', 'shaldon')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
261,"('anestesia', 'del', 'frénico')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
262,"('anestesia', 'organizada')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
263,"('hibernación', 'y', 'refrigeración')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
264,"('la', 'respuesta', 'neuromuscular')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
265,"('de', 'anestesia', 'ergotronic-3')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
266,"('anestesia', 'de', 'base')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
267,"('anestesiología', 'moderna')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
268,"('doctor', 'rafael', 'gálvez')",1,0,2135,1,1.0004681647940077,1.0,1.0004681647940077,False
